,price
461,1500.0
462,2099.0
463,3469.0
464,2200.0
465,2200.0
466,1900.0
467,2775.0
468,2850.0
469,2400.0
470,3575.0
471,2495.0
472,1725.0
473,3000.0
474,1750.0
475,3000.0
476,4000.0
477,2100.0
478,4500.0
479,1995.0
480,2445.0
481,7500.0
482,3149.0
483,3275.0
484,2500.0
485,5990.0
486,2795.0
487,3900.0
488,7250.0
489,2975.0
490,4500.0
491,3250.0
492,2300.0
493,2500.0
494,5300.0
495,3200.0
496,8750.0
497,2595.0
498,3095.0
499,2750.0
500,2550.0
501,2566.0
502,3650.0
503,2995.0
504,4795.0
505,3450.0
506,2550.0
507,2700.0
508,3900.0
509,4917.0
510,1950.0
511,2250.0
512,5440.0
513,3200.0
514,1500.0
515,2350.0
516,4500.0
517,1800.0
518,1250.0
519,2850.0
520,4995.0
521,2644.0
522,3116.0
523,2644.0
524,2927.0
525,3400.0
526,2644.0
527,3135.0
528,2350.0
529,2350.0
530,2940.0
531,4400.0
532,2200.0
533,3800.0
534,2795.0
535,4900.0
536,2550.0
537,2000.0
538,3000.0
539,3000.0
540,2300.0
541,2800.0
542,2650.0
543,2650.0
544,2300.0
545,2400.0
546,5500.0
547,3874.0
548,2500.0
549,2100.0
550,3000.0
551,3000.0
552,2650.0
554,2050.0
555,2245.0
556,2950.0
557,3100.0
558,4003.0
559,2095.0
560,1650.0
561,4558.0
562,3457.0
563,2245.0
564,1575.0
565,1900.0
566,5495.0
567,2700.0
568,2900.0
569,3790.0
570,15860.0
571,2450.0
572,1700.0
573,4195.0
574,8700.0
575,3375.0
576,2250.0
577,2875.0
578,4360.0
579,2406.0
580,4400.0
581,2000.0
582,2500.0
583,8300.0
584,2850.0
585,1200.0
586,2795.0
587,2025.0
588,3070.0
589,2950.0
590,2400.0
591,2695.0
592,4475.0
593,2350.0
594,2200.0
595,2600.0
596,2600.0
597,2800.0
598,3300.0
599,2950.0
600,3300.0
601,1675.0
602,1925.0
603,1250.0
604,4500.0
605,2800.0
606,5737.0
607,3350.0
608,2615.0
609,4295.0
610,2520.0
611,2895.0
612,2875.0
613,2000.0
614,2250.0
615,2375.0
616,2400.0
617,1675.0
618,3950.0
619,2900.0
620,2275.0
621,2325.0
622,1895.0
623,2790.0
624,2000.0
625,2800.0
626,1350.0
627,11000.0
628,2900.0
629,2800.0
630,2995.0
631,3340.0
632,3050.0
633,2950.0
634,1995.0
635,3100.0
636,3000.0
637,1950.0
638,1995.0
639,2600.0
640,1699.0
641,2200.0
642,3589.0
643,1200.0
644,2050.0
645,1800.0
646,6320.0
647,1325.0
648,6500.0
649,3000.0
650,2100.0
651,2700.0
652,2795.0
653,5500.0
654,3692.0
655,1675.0
656,2395.0
657,3800.0
658,2200.0
659,3550.0
660,1850.0
661,5305.0
662,3000.0
663,2000.0
664,3600.0
665,2200.0
666,2920.0
667,2295.0
668,2450.0
669,1550.0
670,1750.0
671,2050.0
672,2429.0
673,3000.0
674,8200.0
675,1800.0
676,3870.0
677,3300.0
678,3550.0
679,1725.0
680,1895.0
681,6500.0
682,2400.0
683,3600.0
684,7500.0
685,1475.0
686,1900.0
687,2195.0
688,3500.0
689,2000.0
690,11500.0
691,5900.0
692,1495.0
693,4500.0
694,3995.0
695,2995.0
696,1875.0
697,2400.0
698,1750.0
699,1950.0
700,2063.0
701,2000.0
702,2500.0
703,11500.0
704,3195.0
705,1700.0
706,1650.0
708,2650.0
709,2450.0
710,1950.0
711,1800.0
712,2150.0
713,4200.0
714,3000.0
715,2979.0
716,2979.0
717,2895.0
718,2500.0
719,2600.0
720,1800.0
721,2100.0
722,1575.0
723,1695.0
724,1799.0
725,2850.0
726,2333.0
727,1850.0
728,1695.0
729,1595.0
730,3570.0
731,3000.0
732,3000.0
733,1895.0
734,2200.0
735,1799.0
736,2300.0
737,3200.0
738,2900.0
739,2525.0
740,2200.0
741,3000.0
742,4000.0
743,2950.0
744,5750.0
745,3300.0
746,3650.0
747,3300.0
748,2350.0
749,3133.0
750,3460.0
751,2500.0
752,2800.0
753,3900.0
754,1999.0
755,3945.0
756,3000.0
757,2500.0
758,2700.0
759,1195.0
760,2495.0
761,3150.0
762,2700.0
763,2800.0
764,2100.0
765,8500.0
766,3740.0
767,3550.0
768,2150.0
769,1400.0
770,1900.0
771,4100.0
772,4026.0
773,1950.0
774,1695.0
775,1575.0
776,3800.0
777,4200.0
778,4000.0
779,2000.0
780,1750.0
781,4000.0
782,3700.0
783,5675.0
784,10200.0
785,5350.0
786,8000.0
787,5300.0
788,2108.0
789,3700.0
790,3600.0
791,3250.0
792,2649.0
793,2367.0
794,2300.0
795,2350.0
796,2500.0
797,3300.0
798,2499.0
799,2499.0
800,2999.0
801,5500.0
802,3600.0
803,5495.0
804,1800.0
805,2495.0
806,2495.0
807,3700.0
808,2800.0
809,2700.0
810,2400.0
811,1650.0
812,2450.0
813,2295.0
814,2200.0
815,3858.0
816,1775.0
817,3150.0
818,1600.0
819,1800.0
820,2375.0
821,2459.0
822,4585.0
823,3500.0
824,2795.0
825,2895.0
826,2895.0
827,3395.0
828,2350.0
829,1675.0
830,2100.0
831,3800.0
832,2150.0
833,3700.0
834,5215.0
835,1895.0
836,3500.0
837,2850.0
838,3600.0
839,2050.0
840,2200.0
841,3495.0
842,4000.0
843,3000.0
844,2295.0
845,3850.0
846,1675.0
847,2200.0
848,1938.0
849,2675.0
850,2400.0
851,4250.0
852,5250.0
853,3350.0
854,3350.0
855,5500.0
856,3950.0
857,4500.0
858,3300.0
859,8550.0
860,2050.0
861,6750.0
862,1899.0
863,3110.0
864,1100.0
865,2250.0
866,2895.0
867,2000.0
868,2799.0
869,2950.0
870,2200.0
871,7500.0
872,3230.0
873,2200.0
874,2200.0
875,3250.0
876,3250.0
877,3795.0
878,1800.0
879,2450.0
880,2000.0
881,2225.0
882,2250.0
883,2849.0
884,2875.0
885,3125.0
886,2500.0
887,5300.0
888,4400.0
889,3600.0
890,1950.0
891,2625.0
892,1999.0
893,2995.0
894,2200.0
895,3500.0
896,2700.0
897,2395.0
898,1975.0
899,2300.0
900,2500.0
901,2350.0
902,4982.0
903,2250.0
904,1900.0
905,2000.0
906,2400.0
907,2750.0
908,3900.0
909,3295.0
910,1700.0
911,2650.0
912,2075.0
913,2650.0
914,2595.0
915,3250.0
916,4000.0
917,1850.0
918,4100.0
919,1700.0
920,3295.0
921,2399.0
922,3100.0
923,2450.0
924,2350.0
925,3500.0
926,2100.0
927,1650.0
928,3800.0
929,1850.0
930,2300.0
931,2300.0
932,2325.0
933,3750.0
934,6500.0
935,1895.0
936,4450.0
937,5500.0
938,4000.0
939,2500.0
940,1800.0
941,3600.0
942,4275.0
943,2495.0
944,2200.0
945,1695.0
946,3699.0
947,2295.0
948,1699.0
949,4095.0
950,2400.0
951,4315.0
952,2095.0
953,2000.0
954,1600.0
955,4500.0
956,1700.0
957,4800.0
958,2699.0
959,1500.0
960,2375.0
961,3500.0
962,3249.0
963,2700.0
964,3825.0
965,2700.0
966,2700.0
967,2800.0
968,2590.0
969,2100.0
970,1835.0
971,2600.0
972,1950.0
973,1775.0
974,2995.0
975,2950.0
976,3400.0
977,1900.0
978,6500.0
979,2300.0
980,3100.0
981,2795.0
982,2200.0
983,3710.0
984,1550.0
985,1971.0
986,3350.0
987,2775.0
988,1400.0
989,4495.0
990,2395.0
991,1895.0
992,3985.0
993,3300.0
994,2100.0
995,3496.0
996,2341.0
997,1750.0
998,3350.0
999,3500.0
1000,2500.0
1001,2732.0
1002,4500.0
1003,1695.0
1004,1795.0
1005,8200.0
1006,2895.0
1007,3300.0
1008,1700.0
1009,1730.0
1010,11790.0
1011,2934.0
1012,3750.0
1013,1700.0
1014,2100.0
1015,1400.0
1016,1600.0
1017,1600.0
1018,3345.0
1019,5000.0
1020,2995.0
1021,2200.0
1022,2975.0
1023,1650.0
1024,4500.0
1025,4575.0
1027,2250.0
1028,3695.0
1029,1950.0
1030,2400.0
1031,2200.0
1032,3500.0
1033,2500.0
1034,2525.0
1035,1650.0
1036,3400.0
